scenario,seed,snapshot_t,method,evaluation,objective_value,best_so_far_cost
gradual,201,4,Combined,1,0.00102212158445069,0.00102212158445069
gradual,201,4,Combined,2,0.27135084067321175,0.00102212158445069
gradual,201,4,Combined,3,0.0,0.0
gradual,201,4,Combined,4,0.31116050984109667,0.0
gradual,201,4,Combined,5,0.43904260207334134,0.0
gradual,201,4,Combined,6,0.046971826353611607,0.0
gradual,201,4,Combined,7,0.03493006267751521,0.0
gradual,201,4,Combined,8,0.0,0.0
gradual,201,4,Combined,9,0.004871571572127542,0.0
gradual,201,4,Combined,10,0.003994021838402232,0.0
gradual,201,4,Combined,11,0.004837761292414143,0.0
gradual,201,4,Combined,12,0.0034210069800871185,0.0
gradual,201,4,Combined,13,0.0,0.0
gradual,201,4,Combined,14,0.0,0.0
gradual,201,4,Combined,15,0.0,0.0
gradual,201,4,Combined,16,0.0,0.0
gradual,201,4,Combined,17,0.0,0.0
gradual,201,4,Combined,18,0.0,0.0
gradual,201,4,Combined,19,0.0,0.0
sudden,304,5,Cold,1,0.49631874380752444,0.49631874380752444
sudden,304,5,Cold,2,0.5193831361434386,0.49631874380752444
sudden,304,5,Cold,3,0.49590502369860234,0.49590502369860234
sudden,304,5,Cold,4,0.5381475856777214,0.49590502369860234
sudden,304,5,Cold,5,0.5239774084284547,0.49590502369860234
sudden,304,5,Cold,6,0.4947179337728148,0.4947179337728148
sudden,304,5,Cold,7,0.5299549851671841,0.4947179337728148
sudden,304,5,Cold,8,0.5035000726028445,0.4947179337728148
sudden,304,5,Cold,9,0.49921968256703586,0.4947179337728148
sudden,304,5,Cold,10,0.5104570666805023,0.4947179337728148
sudden,304,5,Cold,11,0.5069172961044839,0.4947179337728148
sudden,304,5,Cold,12,0.4969707198159501,0.4947179337728148
sudden,304,5,Cold,13,0.49922417580109457,0.4947179337728148
sudden,304,5,Cold,14,0.5048976258470841,0.4947179337728148
sudden,304,5,Cold,15,0.5067996455800461,0.4947179337728148
sudden,304,5,Cold,16,0.4975392240743066,0.4947179337728148
sudden,304,5,Cold,17,0.5052898986190092,0.4947179337728148
sudden,304,5,Cold,18,0.5125218222118592,0.4947179337728148
sudden,304,5,Cold,19,0.49469822061964075,0.49469822061964075
sudden,304,5,Cold,20,0.49437644737545994,0.49437644737545994
sudden,304,5,Cold,21,0.5024122251024694,0.49437644737545994
sudden,304,5,Cold,22,0.5120590653770152,0.49437644737545994
sudden,304,5,Cold,23,0.5072546006604955,0.49437644737545994
sudden,304,5,Cold,24,0.49871999973654535,0.49437644737545994
sudden,304,5,Param,1,0.525597831693811,0.525597831693811
sudden,304,5,Param,2,0.5378320027262137,0.525597831693811
sudden,304,5,Param,3,0.5224617124226794,0.5224617124226794
sudden,304,5,Param,4,0.3994797899537235,0.3994797899537235
sudden,304,5,Param,5,0.3417927164068171,0.3417927164068171
sudden,304,5,Param,6,0.4394499933415645,0.3417927164068171
sudden,304,5,Param,7,0.3192607942544067,0.3192607942544067
sudden,304,5,Param,8,0.38366663055831857,0.3192607942544067
sudden,304,5,Param,9,0.40775272939170176,0.3192607942544067
sudden,304,5,Param,10,0.3301458377420655,0.3192607942544067
sudden,304,5,Param,11,0.31721300357644944,0.31721300357644944
sudden,304,5,Param,12,0.31391370731825186,0.31391370731825186
sudden,304,5,Param,13,0.31391370731825186,0.31391370731825186
sudden,304,5,Param,14,0.31848759358487155,0.31391370731825186
sudden,304,5,Param,15,0.3164483920836098,0.31391370731825186
sudden,304,5,Param,16,0.3150269066495083,0.31391370731825186
sudden,304,5,Param,17,0.31391370731825186,0.31391370731825186
sudden,304,5,Param,18,0.31439941859018355,0.31391370731825186
sudden,304,5,Param,19,0.31391370731825186,0.31391370731825186
sudden,304,5,Param,20,0.3141205183692755,0.31391370731825186
sudden,304,5,Param,21,0.31391370731825186,0.31391370731825186
sudden,304,5,Param,22,0.3140531574287059,0.31391370731825186
sudden,304,5,Param,23,0.31391370731825186,0.31391370731825186
sudden,304,5,Param,24,0.3140531574287059,0.31391370731825186
sudden,304,5,State,1,0.1416727748163598,0.1416727748163598
sudden,304,5,State,2,0.3537151644471855,0.1416727748163598
sudden,304,5,State,3,0.138355052489284,0.138355052489284
sudden,304,5,State,4,0.37939279718278945,0.138355052489284
sudden,304,5,State,5,0.39679800574072566,0.138355052489284
sudden,304,5,State,6,0.17357188682894353,0.138355052489284
sudden,304,5,State,7,0.13908287567395242,0.138355052489284
sudden,304,5,State,8,0.15548219773675162,0.138355052489284
sudden,304,5,State,9,0.1371822361342054,0.1371822361342054
sudden,304,5,State,10,0.15179958524377965,0.1371822361342054
sudden,304,5,State,11,0.13952331751919256,0.1371822361342054
sudden,304,5,State,12,0.1453438185146679,0.1371822361342054
sudden,304,5,State,13,0.1394561095257096,0.1371822361342054
sudden,304,5,State,14,0.1393994743252827,0.1371822361342054
sudden,304,5,State,15,0.13734057519741355,0.1371822361342054
sudden,304,5,State,16,0.14689958452128205,0.1371822361342054
sudden,304,5,State,17,0.13849945094875596,0.1371822361342054
sudden,304,5,State,18,0.13774935699472524,0.1371822361342054
sudden,304,5,State,19,0.13650813456840546,0.13650813456840546
sudden,304,5,State,20,0.13865253938381483,0.13650813456840546
sudden,304,5,State,21,0.13823016281045938,0.13650813456840546
