scenario,seed,snapshot_t,method,evaluation,best_so_far_cost
sudden,304,5,Param,22,0.31178956606218117
sudden,304,5,Param,23,0.3043547834534855
sudden,304,5,Param,24,0.29692000084478987
sudden,304,5,State,1,0.39220736284463203
sudden,304,5,State,2,0.3902595367576755
sudden,304,5,State,3,0.388311710670719
sudden,304,5,State,4,0.3863638845837625
sudden,304,5,State,5,0.38441605849680593
sudden,304,5,State,6,0.38246823240984945
sudden,304,5,State,7,0.3805204063228929
sudden,304,5,State,8,0.3785725802359364
sudden,304,5,State,9,0.37662475414897983
sudden,304,5,State,10,0.37467692806202335
sudden,304,5,State,11,0.3727291019750668
sudden,304,5,State,12,0.368711710670719
sudden,304,5,State,13,0.3621030150185451
sudden,304,5,State,14,0.35549431936637116
sudden,304,5,State,15,0.34888562371419723
sudden,304,5,State,16,0.34227692806202337
sudden,304,5,State,17,0.33566823240984944
sudden,304,5,State,18,0.3290595367576755
sudden,304,5,State,19,0.3224508411055016
sudden,304,5,State,20,0.31584214545332767
sudden,304,5,State,21,0.30923344980115375
sudden,304,5,State,22,0.3026247541489799
sudden,304,5,State,23,0.29601605849680596
sudden,304,5,State,24,0.28940736284463203
sudden,304,5,Combined,1,0.28650813456840546
sudden,304,5,Combined,2,0.2846820476118837
sudden,304,5,Combined,3,0.282855960655362
sudden,304,5,Combined,4,0.28102987369884025
sudden,304,5,Combined,5,0.2792037867423185
sudden,304,5,Combined,6,0.27737769978579674
sudden,304,5,Combined,7,0.27555161282927504
sudden,304,5,Combined,8,0.2737255258727533
sudden,304,5,Combined,9,0.27189943891623153
sudden,304,5,Combined,10,0.27007335195970983
sudden,304,5,Combined,11,0.2682472650031881
sudden,304,5,Combined,12,0.264480960655362
sudden,304,5,Combined,13,0.2582853084814489
sudden,304,5,Combined,14,0.2520896563075359
sudden,304,5,Combined,15,0.24589400413362286
sudden,304,5,Combined,16,0.23969835195970982
sudden,304,5,Combined,17,0.23350269978579677
sudden,304,5,Combined,18,0.22730704761188372
sudden,304,5,Combined,19,0.2211113954379707
sudden,304,5,Combined,20,0.21491574326405766
sudden,304,5,Combined,21,0.2087200910901446
sudden,304,5,Combined,22,0.20252443891623156
sudden,304,5,Combined,23,0.19632878674231852
sudden,304,5,Combined,24,0.19013313456840547
