regime,seed,method,pretty_method,cumulative_cost,cumulative_interference,cumulative_switches,offline_cost,offline_gap,improvement_vs_cold,mean_feasible_fraction,mean_success_probability,mean_expected_cost,mean_cx_count,mean_circuit_depth,total_wall_seconds
gradual,202,Param,Parameter Transfer,0.72,0.0,2.4000000000000004,0.0,0.72,-0.24,1.0,0.16145833333333334,0.3594774556849185,89.0,104.25,222.816466859309
gradual,202,State,State Warm Start,0.18,0.0,0.6,0.0,0.18,0.3,1.0,0.9052734375,0.04679162655280079,89.0,104.5,160.21353482175618
gradual,202,Combined,Combined,1.9799999999999995,0.0,6.599999999999999,0.0,1.9799999999999995,-1.4999999999999996,1.0,0.9159342447916666,0.193176023857889,89.0,104.41666666666667,125.82774446671829
gradual,203,Cold,Cold,0.6087757037744802,0.12877570377448025,1.6,0.0,0.6087757037744802,0.0,1.0,0.0096435546875,0.48308607491411354,95.0,108.25,281.3797293251846
gradual,203,Param,Parameter Transfer,0.54,0.0,1.8000000000000003,0.0,0.54,0.06877570377448017,1.0,0.008341471354166666,0.45783001495108566,95.0,108.25,182.36014596908353
gradual,203,State,State Warm Start,0.0,0.0,0.0,0.0,0.0,0.6087757037744802,1.0,0.7593180338541666,0.08022058164736438,95.0,108.66666666666667,187.9777666227892
gradual,203,Combined,Combined,2.460069965567329,0.12006996556732902,7.8,0.0,2.460069965567329,-1.851294261792849,1.0,0.4977213541666667,0.26316365681353615,95.0,108.66666666666667,120.12602686230093
gradual,204,Cold,Cold,1.553978338958286,0.773978338958286,2.6,0.07788019602500676,1.4760981429332791,0.0,1.0,0.0853271484375,0.4075486804403783,100.5,111.75,285.35294313170016
gradual,204,Param,Parameter Transfer,1.176579724862304,0.33657972486230403,2.8,0.07788019602500676,1.0986995288372972,0.37739861409598197,1.0,0.006103515625,0.4419147530765868,100.5,111.75,190.09311433625408
gradual,204,State,State Warm Start,0.497329146307646,0.377329146307646,0.4,0.07788019602500676,0.4194489502826393,1.05664919265064,1.0,0.8252766927083334,0.08700631208811471,100.5,111.33333333333333,278.02264111931436
gradual,204,Combined,Combined,0.43732914630764597,0.377329146307646,0.2,0.07788019602500676,0.35944895028263923,1.11664919265064,1.0,0.8298746744791666,0.06096903383134794,100.5,111.91666666666667,244.59924003784545
sudden,301,Cold,Cold,1.7800677140662589,0.8800677140662587,3.0,0.5221993398059874,1.2578683742602714,0.0,1.0,0.08919270833333333,0.45170868780477186,103.5,110.0,168.25884196558036
sudden,301,Param,Parameter Transfer,1.2741985068136663,0.614198506813666,2.1999999999999997,0.5221993398059874,0.7519991670076789,0.5058692072525925,1.0,0.0897216796875,0.4481414774255079,103.5,110.0,131.26179716782644
sudden,301,State,State Warm Start,0.9326645597002403,0.8726645597002403,0.2,0.5221993398059874,0.4104652198942529,0.8474031543660185,1.0,0.7401123046875,0.13095035088380583,103.5,110.16666666666667,145.5794726186432
sudden,301,Combined,Combined,0.6858911108266063,0.6258911108266062,0.2,0.5221993398059874,0.16369177102061883,1.0941766032396525,1.0,0.796630859375,0.09760431905786189,103.5,109.83333333333333,184.79775090306066
sudden,302,Cold,Cold,0.8069176273683547,0.6269176273683545,0.6000000000000001,0.5640659860756712,0.24285164129268355,0.0,1.0,0.01025390625,0.44575467320424367,109.0,112.66666666666667,227.07817329419777
sudden,302,Param,Parameter Transfer,1.2345224656533997,0.7545224656533998,1.5999999999999999,0.5640659860756712,0.6704564795777286,-0.42760483828504503,1.0,0.08882649739583333,0.4580215389846929,109.0,112.66666666666667,192.9039623811841
sudden,302,State,State Warm Start,0.7478736851379957,0.7478736851379957,0.0,0.5640659860756712,0.18380769906232453,0.059043942230359026,1.0,0.8660888671875,0.10410970345190695,109.0,112.0,142.54845596360974
sudden,302,Combined,Combined,0.7478736851379957,0.7478736851379957,0.0,0.5640659860756712,0.18380769906232453,0.059043942230359026,1.0,0.917724609375,0.09088890130941918,109.0,112.0,103.49087462038733
sudden,303,Cold,Cold,1.6564300258189695,0.6364300258189697,3.400000000000001,0.19440540334228057,1.4620246224766889,0.0,1.0,0.0882568359375,0.4578006705150779,101.0,108.66666666666667,148.73559200763702
sudden,303,Param,Parameter Transfer,1.3953725286369396,0.7353725286369395,2.2,0.19440540334228057,1.200967125294659,0.26105749718202986,1.0,0.17399088541666666,0.4346746843758453,101.0,108.66666666666667,212.0273867843207
sudden,303,State,State Warm Start,0.5440876046621028,0.4240876046621028,0.4,0.19440540334228057,0.34968220131982225,1.1123424211568667,1.0,0.8141682942708334,0.062482628264326316,101.0,108.91666666666667,171.33153144689277
sudden,303,Combined,Combined,0.8917482395173865,0.7717482395173866,0.4,0.19440540334228057,0.697342836175106,0.764681786301583,1.0,0.8274739583333334,0.0905640190340787,101.0,108.91666666666667,138.79677264695056
sudden,304,Cold,Cold,2.092270923920733,1.252270923920733,2.8,0.8526082940042281,1.2396626299165048,0.0,1.0,0.17431640625,0.4419988950661968,106.0,110.91666666666667,176.88208302296698
sudden,304,Param,Parameter Transfer,2.173166177824573,1.3931661778245734,2.6000000000000005,0.8526082940042281,1.320557883820345,-0.08089525390384011,1.0,0.18229166666666666,0.43776998528093825,106.0,110.91666666666667,218.1236934592016
sudden,304,State,State Warm Start,1.0388484984071114,1.0388484984071114,0.0,0.8526082940042281,0.18624020440288325,1.0534224255136215,1.0,0.9076334635416666,0.11544232270225892,106.0,111.25,165.3400896443054
sudden,304,Combined,Combined,3.3720835590300227,1.032083559030023,7.799999999999999,0.8526082940042281,2.5194752650257946,-1.2798126351092898,1.0,0.5063069661458334,0.33591619051584193,106.0,110.91666666666667,138.36107287369668
continuous_sudden,401,Cold,Cold,0.9291331007848738,0.2091331007848738,2.4,0.20470114576636353,0.7244319550185102,0.0,1.0,0.17240397135416666,0.42159307117758194,86.5,102.75,196.50915679847822
continuous_sudden,401,Param,Parameter Transfer,1.279525367338967,0.25952536733896714,3.4000000000000004,0.20470114576636353,1.0748242215726036,-0.3503922665540933,1.0,0.2522786458333333,0.36484803451082803,86.5,102.75,170.30202723224647
continuous_sudden,401,State,State Warm Start,0.5647011457663635,0.08470114576636353,1.5999999999999999,0.20470114576636353,0.36,0.3644319550185102,1.0,0.6000569661458334,0.17611754468219945,86.5,103.0,158.80731164640747
continuous_sudden,401,Combined,Combined,0.20470114576636353,0.08470114576636353,0.4,0.20470114576636353,0.0,0.7244319550185102,1.0,0.8279622395833334,0.05135196740102895,86.5,103.0,173.00437078857794
continuous_sudden,402,Cold,Cold,1.1212958282869523,0.22129582828695243,3.0,0.3852858618346096,0.7360099664523427,0.0,1.0,0.09000651041666667,0.39647101379866645,85.5,102.58333333333333,154.2570053813979
continuous_sudden,402,Param,Parameter Transfer,1.4812958282869524,0.22129582828695243,4.2,0.3852858618346096,1.0960099664523428,-0.3600000000000001,1.0,0.17606608072916666,0.3793422604805286,85.5,102.58333333333333,145.62305533094332
continuous_sudden,402,State,State Warm Start,0.7867965466708886,0.30679654667088857,1.6,0.3852858618346096,0.401510684836279,0.3344992816160637,1.0,0.5628662109375,0.1850984640648281,85.5,102.58333333333333,154.5754388142377
continuous_sudden,402,Combined,Combined,0.3852858618346096,0.08528586183460961,1.0,0.3852858618346096,0.0,0.7360099664523427,1.0,0.5684000651041666,0.15483484906712858,85.5,102.41666666666667,188.49948695558123
continuous_sudden,403,Cold,Cold,1.1917376463584723,0.17173764635847255,3.4000000000000004,0.3401872971532208,0.8515503492052515,0.0,1.0,0.08768717447916667,0.38621771557013074,84.5,102.5,189.4719036500901
continuous_sudden,403,Param,Parameter Transfer,1.0001872971532209,0.10018729715322083,3.0,0.3401872971532208,0.66,0.1915503492052515,1.0,0.08878580729166667,0.39584799188663905,84.5,102.5,149.72374669881538
continuous_sudden,403,State,State Warm Start,0.4001872971532208,0.10018729715322083,1.0,0.3401872971532208,0.06,0.7915503492052516,1.0,0.5643310546875,0.1374900918454229,84.5,102.41666666666667,185.51713374024257
continuous_sudden,403,Combined,Combined,0.8129905008407932,0.5129905008407931,1.0,0.3401872971532208,0.47280320368757234,0.3787471455176792,1.0,0.5413004557291666,0.2061764038597401,84.5,102.41666666666667,124.0494658886455
continuous_sudden,404,Cold,Cold,1.5835651194972091,0.3835651194972087,4.000000000000001,0.37782070307232213,1.205744416424887,0.0,1.0,0.09004720052083333,0.39952588484124524,88.5,103.33333333333333,213.19627362512983
continuous_sudden,404,Param,Parameter Transfer,1.8573011367327792,0.5373011367327791,4.4,0.37782070307232213,1.479480433660457,-0.27373601723557006,1.0,0.08589680989583333,0.3807061147910764,88.5,103.33333333333333,145.4237474699039
continuous_sudden,404,State,State Warm Start,1.0360322039775505,0.3760322039775506,2.2,0.37782070307232213,0.6582115009052283,0.5475329155196587,1.0,0.4239501953125,0.19839501812996985,88.5,103.5,158.88782616192475
continuous_sudden,404,Combined,Combined,0.6953714035223337,0.2753714035223337,1.4,0.37782070307232213,0.3175507004500116,0.8881937159748754,1.0,0.3400065104166667,0.18305980637924155,88.5,103.41666666666667,176.17269895295613
