regime,seed,method,snapshot_t,delta,gain_vs_cold
gradual,204,State,9,0.05471321570805206,0.06
gradual,204,Combined,9,0.05471321570805206,0.06
gradual,204,Param,10,0.09784918283443564,-0.24
gradual,204,State,10,0.09784918283443564,0.0
gradual,204,Combined,10,0.09784918283443564,0.0
gradual,204,Param,11,0.0918644025684564,-0.008518144327986199
gradual,204,State,11,0.0918644025684564,0.2914818556720138
gradual,204,Combined,11,0.0918644025684564,0.2914818556720138
sudden,301,Param,1,0.03732596919414329,0.0
sudden,301,State,1,0.03732596919414329,0.0
sudden,301,Combined,1,0.03732596919414329,0.0
sudden,301,Param,2,0.10967078902544605,-0.18
sudden,301,State,2,0.10967078902544605,0.0
sudden,301,Combined,2,0.10967078902544605,0.0
sudden,301,Param,3,0.053668669959771244,-0.12
sudden,301,State,3,0.053668669959771244,0.0
sudden,301,Combined,3,0.053668669959771244,0.0
sudden,301,Param,4,0.07934997440770289,0.18
sudden,301,State,4,0.07934997440770289,0.18
sudden,301,Combined,4,0.07934997440770289,0.18
sudden,301,Param,5,0.25631107727203306,-0.009471425932448013
sudden,301,State,5,0.25631107727203306,0.0
sudden,301,Combined,5,0.25631107727203306,0.0
sudden,301,Param,6,0.03073599119977655,0.14444797680787702
sudden,301,State,6,0.03073599119977655,0.15303640181501343
sudden,301,Combined,6,0.03073599119977655,0.15303640181501343
sudden,301,Param,7,0.08933747705575722,0.2636503637607306
sudden,301,State,7,0.08933747705575722,0.16936074901692375
sudden,301,Combined,7,0.08933747705575722,0.18
sudden,301,Param,8,0.06812106286761242,0.003940042437725319
sudden,301,State,8,0.06812106286761242,-0.052152679932513255
sudden,301,Combined,8,0.06812106286761242,0.0
sudden,301,Param,9,0.03823694700722908,0.1633022501787078
sudden,301,State,9,0.03823694700722908,0.09672755792720256
sudden,301,Combined,9,0.03823694700722908,0.16547527984791802
sudden,301,Param,10,0.030843220203921995,0.06000000000000005
sudden,301,State,10,0.030843220203921995,0.22060206663367135
sudden,301,Combined,10,0.030843220203921995,0.2790781278893699
sudden,301,Param,11,0.03178787057346377,0.0
sudden,301,State,11,0.03178787057346377,0.07982905890572073
sudden,301,Combined,11,0.03178787057346377,0.13658679368735122
sudden,302,Param,1,0.09967533302086426,-0.20285316029795442
sudden,302,State,1,0.09967533302086426,0.0
sudden,302,Combined,1,0.09967533302086426,0.0
sudden,302,Param,2,0.06670512754960306,-0.06
sudden,302,State,2,0.06670512754960306,0.0
sudden,302,Combined,2,0.06670512754960306,0.0
sudden,302,Param,3,0.047887947816056736,0.0
sudden,302,State,3,0.047887947816056736,0.0
sudden,302,Combined,3,0.047887947816056736,0.0
sudden,302,Param,4,0.049107749822369026,0.0628516412926835
sudden,302,State,4,0.049107749822369026,0.2428516412926835
sudden,302,Combined,4,0.049107749822369026,0.2428516412926835
sudden,302,Param,5,0.2533423244085445,0.0
sudden,302,State,5,0.2533423244085445,0.0017315328854114465
sudden,302,Combined,5,0.2533423244085445,0.0017315328854114465
sudden,302,Param,6,0.05901918397016889,0.0
sudden,302,State,6,0.05901918397016889,-0.03216464640281691
sudden,302,Combined,6,0.05901918397016889,-0.03216464640281691
sudden,302,Param,7,0.03939181993102802,-0.1676033192797743
sudden,302,State,7,0.03939181993102802,-0.04870911181800598
sudden,302,Combined,7,0.03939181993102802,-0.04870911181800598
sudden,302,Param,8,0.040490367557069695,-0.06
sudden,302,State,8,0.040490367557069695,-0.03277258406927051
sudden,302,Combined,8,0.040490367557069695,-0.03277258406927051
sudden,302,Param,9,0.034192300165147745,0.0
sudden,302,State,9,0.034192300165147745,-0.02432841086130183
sudden,302,Combined,9,0.034192300165147745,-0.02432841086130183
sudden,302,Param,10,0.029835560873442756,0.0
sudden,302,State,10,0.029835560873442756,-0.029230139625522275
sudden,302,Combined,10,0.029835560873442756,-0.029230139625522275
sudden,302,Param,11,0.027276794777238194,0.0
sudden,302,State,11,0.027276794777238194,-0.01833433917081853
sudden,302,Combined,11,0.027276794777238194,-0.01833433917081853
sudden,303,Param,1,0.04731163107563791,-0.1453449844439309
sudden,303,State,1,0.04731163107563791,0.08009911784152747
sudden,303,Combined,1,0.04731163107563791,0.08009911784152747
sudden,303,Param,2,0.07180206829227476,-0.23573739541261102
sudden,303,State,2,0.07180206829227476,-0.06
sudden,303,Combined,2,0.07180206829227476,-0.08728238790370044
sudden,303,Param,3,0.059632059063555516,-0.12
sudden,303,State,3,0.059632059063555516,0.0
sudden,303,Combined,3,0.059632059063555516,-0.10168959148021091
sudden,303,Param,4,0.15638613951080654,0.3
sudden,303,State,4,0.15638613951080654,0.3
sudden,303,Combined,4,0.15638613951080654,0.14131134452862762
sudden,303,Param,5,0.2590507184857067,0.0
sudden,303,State,5,0.2590507184857067,-0.01653667317839172
sudden,303,Combined,5,0.2590507184857067,-0.07653667317839172
sudden,303,Param,6,0.10595217197193907,0.2179064368663592
sudden,303,State,6,0.10595217197193907,0.1579064368663592
sudden,303,Combined,6,0.10595217197193907,0.1579064368663592
sudden,303,Param,7,0.10125891228560621,0.06
sudden,303,State,7,0.10125891228560621,0.06
sudden,303,Combined,7,0.10125891228560621,0.06
sudden,303,Param,8,0.08155076213372028,0.1447008588108038
sudden,303,State,8,0.08155076213372028,0.1447008588108038
sudden,303,Combined,8,0.08155076213372028,0.1447008588108038
sudden,303,Param,9,0.04607055484978132,-0.046640099455158984
sudden,303,State,9,0.04607055484978132,0.18
sudden,303,Combined,9,0.04607055484978132,0.18
sudden,303,Param,10,0.07118122377715909,0.026172680816568095
sudden,303,State,10,0.07118122377715909,0.2061726808165681
sudden,303,Combined,10,0.07118122377715909,0.2061726808165681
sudden,303,Param,11,0.05933440455469721,0.06
sudden,303,State,11,0.05933440455469721,0.06
sudden,303,Combined,11,0.05933440455469721,0.06
sudden,304,Param,1,0.028085573104157414,-0.16893473841834528
sudden,304,State,1,0.028085573104157414,0.0
sudden,304,Combined,1,0.028085573104157414,-0.24
sudden,304,Param,2,0.053390530254520244,0.12
sudden,304,State,2,0.053390530254520244,0.18
sudden,304,Combined,2,0.053390530254520244,-0.06
sudden,304,Param,3,0.09263180802625176,0.0
sudden,304,State,3,0.09263180802625176,0.18
sudden,304,Combined,3,0.09263180802625176,-0.06
sudden,304,Param,4,0.15694629941841726,0.0
sudden,304,State,4,0.15694629941841726,0.06
sudden,304,Combined,4,0.15694629941841726,-0.18
sudden,304,Param,5,0.282055129208904,-0.007056370937951306
sudden,304,State,5,0.282055129208904,0.17034920181189508
sudden,304,Combined,5,0.282055129208904,0.01551546333071463
sudden,304,Param,6,0.04640607022888519,-0.40354980643516725
sudden,304,State,6,0.04640607022888519,0.06
sudden,304,Combined,6,0.04640607022888519,-0.14647092576318213
sudden,304,Param,7,0.051700466145232535,-0.08151655228628713
sudden,304,State,7,0.051700466145232535,0.045411760053432726
sudden,304,Combined,7,0.051700466145232535,-0.18
sudden,304,Param,8,0.08007008666334986,0.02194654673270635
sudden,304,State,8,0.08007008666334986,0.041824069639082695
sudden,304,Combined,8,0.08007008666334986,-0.15837586169878481
sudden,304,Param,9,0.044248679039635044,0.13903159140455226
sudden,304,State,9,0.044248679039635044,0.10212906645463271
sudden,304,Combined,9,0.044248679039635044,-0.11880665835960219
sudden,304,Param,10,0.05128948510644461,0.0343881036177644
