regime,seed,method,snapshot_t,delta,gain_vs_cold
sudden,302,State,1,0.09967533302086426,0.00803541319727974
sudden,302,Combined,1,0.09967533302086426,0.18
sudden,302,Param,2,0.06670512754960306,0.08686870195364947
sudden,302,State,2,0.06670512754960306,0.08686870195364947
sudden,302,Combined,2,0.06670512754960306,0.18
sudden,302,Param,3,0.047887947816056736,0.07284090868149097
sudden,302,State,3,0.047887947816056736,0.07284090868149097
sudden,302,Combined,3,0.047887947816056736,0.18
sudden,302,Param,4,0.049107749822369026,0.05345644770861674
sudden,302,State,4,0.049107749822369026,0.05345644770861674
sudden,302,Combined,4,0.049107749822369026,0.1828516412926835
sudden,302,Param,5,0.2533423244085445,-0.012122466075653177
sudden,302,State,5,0.2533423244085445,0.04583544763140732
sudden,302,Combined,5,0.2533423244085445,0.10756698051681876
sudden,302,Param,6,0.05901918397016889,0.01429292634210752
sudden,302,State,6,0.05901918397016889,0.04212827993929061
sudden,302,Combined,6,0.05901918397016889,0.1021282799392906
sudden,302,Param,7,0.03939181993102802,0.05075943104926339
sudden,302,State,7,0.03939181993102802,0.09946854286726936
sudden,302,Combined,7,0.03939181993102802,0.11075943104926338
sudden,302,Param,8,0.040490367557069695,0.0718151144131347
sudden,302,State,8,0.040490367557069695,0.03904253034386418
sudden,302,Combined,8,0.040490367557069695,0.09904253034386419
sudden,302,Param,9,0.034192300165147745,0.04742174794347945
sudden,302,State,9,0.034192300165147745,0.07175015880478128
sudden,302,Combined,9,0.034192300165147745,0.10742174794347943
sudden,303,Param,1,0.04731163107563791,0.02009911784152746
sudden,303,State,1,0.04731163107563791,0.02009911784152746
sudden,303,Combined,1,0.04731163107563791,0.18
sudden,303,Param,2,0.07180206829227476,0.09271761209629956
sudden,303,State,2,0.07180206829227476,0.09271761209629956
sudden,303,Combined,2,0.07180206829227476,0.18
sudden,303,Param,3,0.059632059063555516,0.059999999999999984
sudden,303,State,3,0.059632059063555516,0.059999999999999984
sudden,303,Combined,3,0.059632059063555516,0.1616895914802109
sudden,303,Param,4,0.15638613951080654,0.0
sudden,303,State,4,0.15638613951080654,0.0
sudden,303,Combined,4,0.15638613951080654,0.12
sudden,303,Param,5,0.2590507184857067,-0.04985263203350426
sudden,303,State,5,0.2590507184857067,-0.007100230960196324
sudden,303,Combined,5,0.2590507184857067,0.0694364422181954
sudden,303,Param,6,0.10595217197193907,0.06
sudden,303,State,6,0.10595217197193907,0.06
sudden,303,Combined,6,0.10595217197193907,0.18
sudden,303,Param,7,0.10125891228560621,0.022554286867492557
sudden,303,State,7,0.10125891228560621,0.022554286867492557
sudden,303,Combined,7,0.10125891228560621,0.14396768382006062
sudden,303,Param,8,0.08155076213372028,0.0952991411891962
sudden,303,State,8,0.08155076213372028,0.0952991411891962
sudden,303,Combined,8,0.08155076213372028,0.18
sudden,303,Param,9,0.04607055484978132,0.1054247242755477
