regime,seed,method,snapshot_t,delta,step_cost,step_interference,step_switches,cumulative_cost,cumulative_interference,cumulative_switches,gain_vs_cold,expected_cost,best_sample_cost,feasible_fraction,success_probability,evaluations,shots,cx_count,circuit_depth,wall_seconds
stationary,101,Cold,10,0.0,0.0,0.0,0.0,0.9669272898214922,0.36692728982149225,2.0,0.0,0.5347772638043531,0.0,1.0,0.00048828125,24,2048,102,112,9.677981804125011
stationary,101,Param,10,0.0,0.0,0.0,0.0,0.8698171095658553,0.26981710956585536,1.9999999999999998,0.0,0.5055308105682154,0.0,1.0,0.00439453125,24,2048,102,112,8.985650145215914
stationary,101,State,10,0.0,0.0,0.0,0.0,0.3731449271657947,0.31314492716579473,0.2,0.0,0.006407469596841679,0.0,1.0,0.984375,24,2048,102,113,13.350707673933357
stationary,101,Combined,10,0.0,0.0,0.0,0.0,0.27657246358289733,0.15657246358289736,0.4,0.0,0.004077534311372524,0.0,1.0,0.98974609375,24,2048,102,112,13.620259780902416
stationary,101,Cold,11,0.0,0.0,0.0,0.0,0.9669272898214922,0.36692728982149225,2.0,0.0,0.5089735531371914,0.0,1.0,0.00341796875,24,2048,102,113,13.903620201162994
stationary,101,Param,11,0.0,0.0,0.0,0.0,0.8698171095658553,0.26981710956585536,1.9999999999999998,0.0,0.49178223269330823,0.0,1.0,0.00537109375,24,2048,102,113,9.75562289217487
stationary,101,State,11,0.0,0.0,0.0,0.0,0.3731449271657947,0.31314492716579473,0.2,0.0,0.015696079557604804,0.0,1.0,0.9541015625,24,2048,102,113,16.1922813388519
stationary,101,Combined,11,0.0,0.0,0.0,0.0,0.27657246358289733,0.15657246358289736,0.4,0.0,0.005275543778693143,0.0,1.0,0.98681640625,24,2048,102,112,8.830880714114755
stationary,102,Cold,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3256873370071722,0.0,1.0,0.05029296875,24,2048,102,113,45.785993641009554
stationary,102,Param,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3256873370071722,0.0,1.0,0.05029296875,24,2048,102,113,45.785993641009554
stationary,102,State,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3256873370071722,0.0,1.0,0.05029296875,24,2048,102,113,45.785993641009554
stationary,102,Combined,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3256873370071722,0.0,1.0,0.05029296875,24,2048,102,113,45.785993641009554
stationary,102,Cold,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4983523968214428,0.0,1.0,0.00732421875,24,2048,102,112,31.20483922213316
stationary,102,Param,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48898551739679114,0.0,1.0,0.0048828125,24,2048,102,112,8.16439863992855
stationary,102,State,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003195174874136625,0.0,1.0,0.98876953125,24,2048,102,113,8.700580361066386
stationary,102,Combined,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00965302308632294,0.0,1.0,0.96875,24,2048,102,113,7.46648750314489
stationary,102,Cold,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5354856996262642,0.0,1.0,0.00439453125,24,2048,102,113,24.585599211975932
stationary,102,Param,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5288833261083904,0.0,1.0,0.00537109375,24,2048,102,113,9.201982353813946
stationary,102,State,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005824113113157013,0.0,1.0,0.982421875,24,2048,102,113,8.407518425956368
stationary,102,Combined,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011327311869513416,0.0,1.0,0.96337890625,24,2048,102,113,8.418016735929996
stationary,102,Cold,3,0.0,0.3160294007797217,0.2560294007797217,0.2,0.3160294007797217,0.2560294007797217,0.2,0.0,0.3322070475762996,0.3160294007797217,1.0,0.00048828125,24,2048,102,113,12.846097242785618
