regime,seed,method,snapshot_t,delta,step_cost,step_interference,step_switches,cumulative_cost,cumulative_interference,cumulative_switches,gain_vs_cold,expected_cost,best_sample_cost,feasible_fraction,success_probability,evaluations,shots,cx_count,circuit_depth,wall_seconds
stationary,101,Combined,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15711018025563694,0.006280013430001901,0.0,1.0,0.9765625,6,256,102,113,1.2267158750328235
stationary,101,Cold,11,0.0,0.09711018025563693,0.09711018025563689,0.0,1.0790139791606073,0.5390139791606072,1.8,0.0,0.4747543009899284,0.09711018025563693,1.0,0.0078125,6,256,102,113,1.2186019159853458
stationary,101,Param,11,0.0,0.173244645982958,0.113244645982958,0.19999999999999996,0.6674650064942319,0.30746500649423186,1.2,-0.07613446572732106,0.5576746537346816,0.173244645982958,1.0,0.00390625,6,256,102,113,1.2250192500068806
stationary,101,State,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09711018025563693,0.0334785847480324,0.0,1.0,0.88671875,6,256,102,113,1.230634999985341
stationary,101,Combined,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09711018025563693,0.009669673863207273,0.0,1.0,0.97265625,6,256,102,113,1.2416696249856614
gradual,201,Cold,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1709546645554158,0.0,1.0,0.0078125,6,256,102,112,1.2093739999691024
gradual,201,Param,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1709546645554158,0.0,1.0,0.0078125,6,256,102,112,1.2093739999691024
gradual,201,State,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1709546645554158,0.0,1.0,0.0078125,6,256,102,112,1.2093739999691024
gradual,201,Combined,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1709546645554158,0.0,1.0,0.0078125,6,256,102,112,1.2093739999691024
gradual,201,Cold,1,0.05790101207497034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5240071027759895,0.0,1.0,0.0078125,6,256,102,113,1.2626094580045901
gradual,201,Param,1,0.05790101207497034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5398936553420143,0.0,1.0,0.015625,6,256,102,113,1.1889881659881212
gradual,201,State,1,0.05790101207497034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011173297121044628,0.0,1.0,0.95703125,6,256,102,113,1.1805224160198122
gradual,201,Combined,1,0.05790101207497034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047861912511791074,0.0,1.0,0.8359375,6,256,102,113,1.1795252499869093
gradual,201,Cold,2,0.05497629363283278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5235992622350023,0.0,1.0,0.015625,6,256,102,113,1.2280232499470003
gradual,201,Param,2,0.05497629363283278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4652580040831724,0.0,1.0,0.00390625,6,256,102,113,1.179123958980199
gradual,201,State,2,0.05497629363283278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027137669832441425,0.0,1.0,0.90234375,6,256,102,113,1.1915728750173002
gradual,201,Combined,2,0.05497629363283278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03528540647859235,0.0,1.0,0.87890625,6,256,102,113,1.183904999983497
gradual,201,Cold,3,0.08371174074969893,0.25569694609729987,0.1356969460972999,0.4,0.25569694609729987,0.1356969460972999,0.4,0.0,0.35477820012865474,0.25569694609729987,1.0,0.00390625,6,256,108,113,1.231237083033193
gradual,201,Param,3,0.08371174074969893,0.24,0.0,0.8,0.24,0.0,0.8,0.01569694609729988,0.5327156582149662,0.24,1.0,0.05078125,6,256,108,113,1.1995636249775998
